studentID,month,day,year,sex,fil1,eng1,math1,ap1,fil2,eng2,math2,ap2,fil3,eng3,math3,sci3,ap3,fil4,eng4,math4,sci4,ap4,fil5,eng5,math5,sci5,ap5,fil6,eng6,math6,sci6,ap6
412053180016,7,9,2013,F,92,94,93,92,89,87,87,89,86,85,85,85,86,86,85,86,84,83,83,82,81,82,80,88,87,87,88,87
102283180410,3,22,2013,M,80,80,84,82,81,81,84,84,83,84,84,83,83,83,81,83,81,84,86,84,81,81,85,86,88,86,89,86
102283180087,5,4,2013,M,85,83,84,87,88,86,86,87,88,86,86,88,88,84,84,84,84,85,84,84,85,84,83,87,88,88,88,88
102283180355,9,2,2012,M,89,83,87,86,80,80,80,80,82,82,82,81,82,80,78,78,78,78,80,80,80,79,79,80,80,80,80,80
102283170324,9,7,2011,M,83,82,83,82,84,82,81,85,83,82,82,81,84,79,78,79,79,79,80,79,79,80,81,87,85,86,86,87
102283180348,7,14,2013,M,77,76,77,77,84,82,81,82,81,80,79,79,80,79,78,79,79,79,79,78,78,79,80,85,82,84,83,86
102283170329,6,5,2012,M,79,78,78,78,76,76,76,76,78,77,77,78,78,78,77,80,77,78,81,81,81,81,82,83,82,82,82,84
102283180543,6,9,2013,M,84,83,84,83,83,83,84,84,84,84,84,85,85,86,85,85,86,86,82,83,80,82,82,87,87,87,87,88
102283180292,5,20,2013,F,85,85,87,87,86,85,87,87,85,84,84,84,85,87,86,86,86,87,85,86,86,87,87,90,89,89,90,90
102283180570,1,24,2013,F,84,84,85,84,87,85,85,87,86,83,83,85,85,84,83,83,84,85,86,83,82,82,85,87,86,85,86,86
102283180307,4,2,2013,F,86,86,85,86,87,86,86,86,87,86,86,86,87,85,84,83,86,83,86,86,86,85,85,88,90,87,88,88
102286180014,3,25,2013,F,82,83,82,82,85,84,84,85,83,81,81,82,83,84,86,84,84,85,86,87,85,85,85,90,90,89,89,90
102283180132,2,16,2013,F,84,84,85,86,85,85,85,86,81,81,82,82,82,81,79,80,80,81,81,81,80,81,82,87,86,86,87,86
102283180328,8,23,2012,F,90,90,91,89,89,90,90,90,90,89,89,87,87,85,85,85,84,85,87,86,86,87,87,89,89,88,89,89
102283180145,9,12,2013,F,90,87,87,91,92,92,92,93,91,89,90,90,91,90,87,87,84,88,90,90,89,91,90,90,90,90,90,90
102283180139,11,21,2012,F,87,87,90,89,91,89,89,90,88,85,87,87,88,85,84,85,86,84,87,85,84,84,86,88,87,87,88,87
101618180043,5,19,2013,F,85,85,85,85,88,88,88,89,87,86,87,87,87,84,84,85,84,84,87,86,86,88,86,89,89,89,89,88
102283180468,11,30,2012,M,85,84,85,85,88,86,87,88,88,86,86,87,88,84,84,85,83,84,88,87,86,88,88,89,90,90,90,90
